History Order - 08/11/2025 12:02:46
ID : 25100022 - From Date : 2025-07-15 - To Date : 2025-11-08
Account Id,Ticket,Open Time,Type,Volume,Symbol,Price,S/L,T/P,Close Time,Status
25100015,250710480,2025-07-15 05:13:33,market_order,0.1,AUDNZD,1.051,,,2025-07-15 05:13:33,filled
25100015,250710481,2025-07-15 05:14:17,market_order,0.1,AUDJPY,1.09,,,2025-07-15 05:14:17,filled
25100015,250710482,2025-07-15 05:15:33,market_order,0.1,AUDJPY,1.084,,,2025-07-15 05:15:33,filled
25100016,250710484,2025-07-15 05:17:24,market_order,22,AUDJPY,1.082,,,2025-07-15 05:17:24,filled
25100015,250710485,2025-07-15 05:23:15,market_order,0.1,AUDJPY,1.095,,,2025-07-15 05:23:15,filled
25100015,250710486,2025-07-15 05:23:16,market_order,0.1,AUDNZD,1.078,,,2025-07-15 05:23:16,filled
25100015,250710487,2025-07-15 05:23:17,market_order,0.1,AUDJPY,1.053,,,2025-07-15 05:23:17,filled
25100016,250710488,2025-07-15 05:23:34,market_order,22,AUDJPY,1.053,,,2025-07-15 05:23:34,filled
25100015,250710496,2025-07-15 05:35:25,market_order,0.1,AUDJPY,1.094,,,2025-07-15 05:35:25,filled
25100015,250710497,2025-07-15 05:35:27,market_order,0.1,AUDJPY,1.075,,,2025-07-15 05:35:27,filled
25100015,250710498,2025-07-15 05:36:23,market_order,0.1,AUDJPY,1.06,,,2025-07-15 05:36:23,filled
25100015,250710499,2025-07-15 05:36:36,market_order,0.1,AUDJPY,1.08,,,2025-07-15 05:36:36,filled
25100015,250710500,2025-07-15 05:39:11,market_order,0.1,AUDJPY,1.079,,,2025-07-15 05:39:11,filled
25100016,250710501,2025-07-15 05:40:51,market_order,0.1,AUDJPY,1.099,,,2025-07-15 05:40:51,filled
25100016,250710502,2025-07-15 05:41:41,market_order,1,AUDJPY,1.074,,,2025-07-15 05:41:41,filled
25100016,250710503,2025-07-15 05:41:46,market_order,0.1,AUDJPY,1.051,,,2025-07-15 05:41:46,filled
25100016,250710504,2025-07-15 05:42:23,market_order,0.1,AUDJPY,1.099,,,2025-07-15 05:42:23,filled
25100016,250710505,2025-07-15 05:42:23,market_order,1,AUDJPY,1.099,,,2025-07-15 05:42:23,filled
25100016,250710506,2025-07-15 05:42:23,market_order,0.1,AUDJPY,1.099,,,2025-07-15 05:42:23,filled
25100016,250710507,2025-07-15 05:42:35,market_order,0.1,AUDJPY,1.091,,,2025-07-15 05:42:35,filled
25100015,250710512,2025-07-15 05:57:14,market_order,0.1,AUDNZD,1.076,,,2025-07-15 05:57:14,filled
